priority_id,source_key,work,exact_use_question,candidate_chapters,reading_status,source_card_rel,decision,decision_reason
money-01,ZhJpBook:books/psychology-of-money/markdown/en.md,"Morgan Housel, The Psychology of Money","Separate wealth from visible consumption; test enough, behavior, luck, and survival.",1;16;18;19;23,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_01_rich_and_enough.md,integrate-mechanisms,"Use comparison, time-control, and ruin boundaries; do not import source anecdotes into the narrative spine."
money-02,ZhJpBook:books/your-money-or-your-life-complete-structure-repair/markdown/en.md,"Vicki Robin and Joe Dominguez, Your Money or Your Life",Relate money to finite life energy without reducing every human good to a price.,1;3;4;22;23,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_01_rich_and_enough.md,integrate-adapted-practice,"Adapt the fulfillment, life-energy, and work-created-cost questions into an original enough audit."
money-03,ZhJpBook:books/simple-path-to-wealth-complete-structure-repair/markdown/en.md,"J. L. Collins, The Simple Path to Wealth","Test a simple financial-independence path against geography, taxes, risk, and reader starting points.",3;18;19;22,pending-close-read,,pending,
capital-01,ZhJpBook:books/intelligent-investor-complete-structure-repair/markdown/en.md,"Benjamin Graham, The Intelligent Investor","Clarify margin of safety, investor temperament, price, value, and loss capacity.",16;18;19,pending-close-read,,pending,
capital-02,ZhJpBook:books/little-book-common-sense-investing-complete-structure-repair/markdown/en.md,"John C. Bogle, The Little Book of Common Sense Investing","Explain costs, diversification, market returns, and the limits of concentrated-winner stories.",18;19,pending-close-read,,pending,
customer-01,ZhJpBook:books/mom-test-complete-structure-repair/markdown/en.md,"Rob Fitzpatrick, The Mom Test",Turn customer conversation into disconfirming evidence rather than praise collection.,5;6;8,pending-close-read,,pending,
venture-01,ZhJpBook:books/lean-startup-complete-structure-repair/markdown/en.md,"Eric Ries, The Lean Startup",Specify when validated learning helps and when cheap experiments cannot represent costly reality.,5;6;11;12,pending-close-read,,pending,
product-01,ZhJpBook:books/inspired-product-complete-structure-repair/markdown/en.md,"Marty Cagan, Inspired","Connect customer value, product risk, empowered teams, and accountable discovery.",5;6;7;13,pending-close-read,,pending,
strategy-01,ZhJpBook:books/good-strategy-bad-strategy-complete-structure-repair/markdown/en.md,"Richard Rumelt, Good Strategy/Bad Strategy","Distinguish diagnosis and coherent action from goals, slogans, and growth wishes.",5;11;12;14;15,pending-close-read,,pending,
management-01,ZhJpBook:books/effective-executive-drucker/markdown/en.md,"Peter Drucker, The Effective Executive","Explain attention, contribution, decisions, and the responsible use of executive time.",4;11;13;15;22,pending-close-read,,pending,
economics-01,ZhJpBook:books/economics-one-lesson-complete-structure-repair/markdown/en.md,"Henry Hazlitt, Economics in One Lesson",Use seen and unseen effects while testing the source's ideological and institutional limits.,2;7;12;17;20,pending-close-read,,pending,
meaning-01,ZhJpBook:books/mans-search-for-meaning/markdown/en.md,"Viktor Frankl, Man's Search for Meaning",Distinguish chosen purpose and inner freedom from romanticizing avoidable suffering.,4;21;22;23,pending-close-read,,pending,
freedom-01,ZhJpBook:books/naval-almanack/markdown/en.md,"Eric Jorgenson, The Almanack of Naval Ravikant","Test leverage, specific knowledge, ownership, desire, and happiness as a compact synthesis rather than authority.",3;10;14;18;22;23,pending-close-read,,pending,
china-01,ZhJpBook:books/daodejing/markdown/wenyan.md,"Laozi, Daodejing","Deepen sufficiency, desire, non-coercive action, and the discipline of stopping.",13;21;22;23,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_01_rich_and_enough.md,retain-and-deepen,"Keep the existing knowing-sufficiency and knowing-when-to-stop distinction; connect it to repeated review."
china-02,ZhJpBook:books/mengzi/markdown/wenyan.md,Mencius,"Connect stable livelihood, moral agency, humane government, and unequal material conditions.",2;3;13;20;23,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_01_rich_and_enough.md,retain-boundary,"Keep stable livelihood as a material-agency boundary; do not translate ancient policy literally."
china-03,ZhJpBook:books/zhuangzi/markdown/wenyan.md,Zhuangzi,"Test skill, constraint, status, usefulness, freedom, and the cost of fixed identity.",3;4;21;22;23,pending-close-read,,pending,
china-04,ZhJpBook:books/lunyu/markdown/wenyan.md,"Confucius, Analects","Clarify learning, trust, role, reciprocity, and leadership by cultivated example.",3;9;13;15,pending-close-read,,pending,
china-05,ZhJpBook:books/mozi/markdown/wenyan.md,Mozi,"Test impartial care, frugality, social benefit, merit, and anti-luxury arguments.",2;7;13;20;23,pending-close-read,,pending,
china-06,ZhJpBook:books/hanfeizi/markdown/wenyan.md,Han Feizi,"Use incentives, information, institutional control, and succession without endorsing authoritarian premises.",11;13;14;15;20,pending-close-read,,pending,
china-07,ZhJpBook:books/huainanzi/markdown/wenyan.md,Huainanzi,"Explore adaptive rule, limits, appetite, timing, and the relation between person and conditions.",2;4;13;18;23,pending-close-read,,pending,
literature-01,ZhJpBook:books/great-gatsby/markdown/en.md,"F. Scott Fitzgerald, The Great Gatsby","Test status, reinvention, desire, wealth display, and the impossibility of purchasing the past.",1;4;21;23,pending-close-read,,pending,
