decision_id,primary_home,implementation,acceptance_test
curriculum_disagreement_audit#1,global-architecture,Retain five parts and twenty-three chapters,TeX includes exactly five parts and twenty-three numbered chapters
curriculum_disagreement_audit#2,ch05;ch06;ch09;ch11;ch12;ch14,Open one strategy-choice record in ch05 and update changed fields later,One full record exists and later chapters do not duplicate it
curriculum_disagreement_audit#3,ch05;ch07;ch09,Define position by buyer alternative change and proof,No first-mover or mind-manipulation rule remains
curriculum_disagreement_audit#4,ch07;ch08,Fold decision evidence step terms and consent into one exchange record,The record replaces rather than duplicates the sales review
curriculum_disagreement_audit#5,ch09;ch10;ch11;ch12;ch16,Use one attention-to-cash operating flow and reconcile its numbers,Every node names its constraint and waiting-time bearer
curriculum_disagreement_audit#6,ch18,State a broad low-cost default and the burden for concentration,No product allocation or return promise appears
curriculum_disagreement_audit#7,ch04;ch12;ch19;ch21,Test present output against future capability without asset language for people,Each recurrence changes the decision and remains brief
curriculum_disagreement_audit#8,global-wealth-notebook,Consolidate exercises into five linked living records,Every chapter updates a record and duplicate fields are removed
curriculum_disagreement_audit#9,ch15;ch21;ch22;ch23,Distribute the family compact across ownership cost freedom and stewardship,No standalone estate-planning checklist is added
curriculum_disagreement_audit#10,source-notes;acknowledgements,Trace distinctive outside mechanisms while keeping interviews visible,Notes name actual influences and prose avoids authority decoration
curriculum_disagreement_audit#11,global-source-audit,Preserve every accepted transcript use qualification and rejection,Deterministic source audit remains complete
curriculum_disagreement_audit#12,global-architecture,Require placement recurring-case practical-record transition and validation mappings,Architecture validators report no unplaced decision
problem_01_rich_and_enough#1,ch01;ch22;ch23,Keep Boyd and conflicting testimony central to the rich-to-enough arc,Boyd recurs only when scarcity freedom or enough changes meaning
problem_01_rich_and_enough#2,global-architecture,Retain the triad inside the five-part structure,No detached philosophy chapter appears
problem_01_rich_and_enough#3,ch01;ch23,Open and revise a compact enough audit,The final audit visibly revises the first
problem_01_rich_and_enough#4,ch21,Protect needed irreplaceable goods from ruin for optional gain,Cost review names necessity substitutability and ruin
