case_id,case,source_anchors,first_home,later_homes,first_function,later_function,repeat_guard,figure_policy
boyd-rich-to-enough,Glenn Boyd,"48TQYZOgE1s; MQv7Te8VmYI; controlling V2 sources 132 and 133",ch01,"ch04;ch11;ch12;ch13;ch22;ch23",Separate poverty relief from diminishing luxury returns,"Test life design; founder dependence; growth carry; governance; post-exit purpose; final enough","Introduce childhood and transaction context once; later uses carry only the new decision; never treat whole-company sale value as personal proceeds",No new figure
kessner-nonfinancial-wealth,Mike Kessner,uf0Or7n8_bU,ch04,"ch21;ch22;ch23",Make home family time and the ability to leave bad work visible before choosing income,"Price relationship cost; show role transition; preserve nonfinancial value in enough","Keep household form and parenting judgments personal; do not repeat the investment biography or turn family into an asset",No figure
brady-opportunity-to-cost,Tom Brady,cTs9SgRk4SI,ch02,ch21,Place deliberate practice inside mentors access and an unequal opportunity field,"Distinguish trained difficulty from damage through recovery body care integrity and accountability","Do not infer that injury extreme pressure or never quitting is necessary; repeat no career biography",No figure
stephens-finite-time,Tony Stephens,exeXKslPiDI,ch01,ch21,Make finite time part of the first wealth measure,"Test whether ambition consumes irreplaceable years and relationships","Use population averages only with a caveat; quality time never excuses preventable absence",Retain the accepted ribbon frame in ch01 only
customer-evidence-chain,John Abraham and Chris Meroff,"3G79t-mcgJ8; MtvcqGNGev8; Problem 02 accepted V2 evidence",ch05,"ch06;ch08",Set a reachable problem and expose why enthusiasm is insufficient,"Advance from role-specific commitment to a sale that validates only the reproduced exchange","Introduce each operator once; do not import startup-book anecdotes or call conversation proof of demand",No figure
growth-carry-chain,Labor-force founder apparel founder and Glenn Boyd,"d4Yuq3iP5eI; D0utmFm1l0o; MQv7Te8VmYI",ch09,"ch11;ch12",Open the attention-to-cash operating flow before scale,"Separate purchase-order demand capacity cash carry expense multiplication and growth permission","Do not combine the three businesses into one synthetic biography; each case owns one constraint",No figure
capital-fit-pair,Arizona beverage founder and Dallas bank operator,"gBBlX7v0910; JsEUa3mMGe0",ch12,ch14,Show opposite ways to finance a timing and capacity gap,"Resolve the contradiction through capital fit rights control and duties rather than a universal winner","Keep reported figures attributed; reject no-Plan-B doctrine and do not declare debt or equity universally superior",No figure
austin-partnership-and-prevention,Austin real-estate partners,cttsP_8MjEo,ch13,ch20,Show staged trust complementary roles private strain and a sober safety failure,"Return only to distinguish prevention from insurance entity and contract containment","Exclude sensitive personal history unsupported partnership statistics recruiting material and incident spectacle",No figure
concentration-survival-triptych,Industrial-property founder Austin concentrated loss and New York margin call,"TllMBc9YvKk; cttsP_8MjEo; JKkwS6FT7wY",ch16,ch18,Label the claimed number debt liquidity and paper loss before drawing a lesson,"Test concentration through capacity willingness necessity forced sale and a survivable exception record","No current stock promotion hindsight triumphalism death detail or all-in rule; every amount remains attributed",No figure
tax-and-civic-contrast,Carlton Dennis Richard Harpin and UAE operator,"22CjsRG0sTc; 4uFVDpGTHPQ",ch20,ch23,Separate legal permissibility economic soundness ethical legitimacy and contribution,"Return briefly when stewardship asks what private wealth owes beyond the household","Do not rank unlike jurisdictions or transactions by a headline effective rate; verify every current rule",Retain the accepted Dennis board frame in ch20 only
succession-and-purpose-cluster,"Tim Tebow post-exit couple TJ Millionaire Jody Lorenzo and Jameis Winston","npnyOvchXZs; QJP9OXmI5_4; E_9nX5ReMcY; DmDeNuTUetE",ch15,"ch22;ch23",Separate continuity succession sale family ownership work and authority,"Move from freedom without purpose to provision capability willing stewardship and intergenerational enough","Do not prescribe a trust family form career inheritance or never-give-up rule; introduce legal specifics only after current primary review",No figure
