figure_id,source_id,candidate_rel,source_video_rel,timestamp,interviewee,reason_for_selection,intended_placement,visual_review,timestamp_match,context_match,duplicate_check,caption,publication_status,notes
lecture_108_figure_02,108,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_108_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/108 - The Single Skill That Built His $100M Year Business [oRqUthcMi6I].mkv,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_110_figure_02,110,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_110_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/110 - He Turned $100k Into $25M [lAOliWexJgo].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_110_figure_03,110,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_110_figure_03.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/110 - He Turned $100k Into $25M [lAOliWexJgo].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_113_figure_02,113,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_113_figure_02.png,"lazyearn/school-of-hard-knocks/hard-knocks-interviews/113 - Asking Strangers How Much MONEY They Make (Austin, Texas) [1m7ERHu13sc].mkv",,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_132_figure_03,132,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_132_figure_03.png,"lazyearn/school-of-hard-knocks/hard-knocks-interviews/132 - How I Turned $1,000 Into $1 Billion [MQv7Te8VmYI].mkv",,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_132_figure_05,132,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_132_figure_05.png,"lazyearn/school-of-hard-knocks/hard-knocks-interviews/132 - How I Turned $1,000 Into $1 Billion [MQv7Te8VmYI].mkv",,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_139_figure_02,139,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_139_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/139 - Asking Millionaires What They Are Investing in [67T9EMIvOlA].mkv,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_43_figure_02,43,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_43_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/043 - Asking Texan Billionaires How They Got Rich! [uMXIsDecZ3s].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_53_figure_02,53,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_53_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/053 - I Was on Food Stamps... Now I Make $100M⧸Year [QJP9OXmI5_4].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_56_figure_03,56,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_56_figure_03.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/056 - He Made $7M⧸Year And Paid Zero Taxes! [22CjsRG0sTc].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_61_figure_02,61,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_61_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/061 - Asking Millionaires Who They're Voting For President [JMIE80d0Aoo].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_62_figure_02,62,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_62_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/062 - Asking San Francisco Millionaires How They Got Rich! [G_GZbtj0uP8].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_65_figure_01,65,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_65_figure_01.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/065 - Asking Las Vegas Millionaires How They Got Rich! [D0utmFm1l0o].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_76_figure_02,76,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_76_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/076 - Asking Scottsdale Millionaires How They Got Rich [sExOe8q1QBc].webm,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
lecture_88_figure_02,88,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/figures/lecture_88_figure_02.png,lazyearn/school-of-hard-knocks/hard-knocks-interviews/088 - Asking Texas Millionaires How They Got RICH! [exeXKslPiDI].mkv,,,,,pending,pending,pending,pending,,excluded-until-verified,Existing course-wide candidate; not accepted into the book.
